Incident_ID,Source,Event,Location,Time,Severity,Details
AUD-001,Audio,Building Fire,Downtown Avenue,N/A,High,There is a fire and people are trapped on the second floor near Downtown Avenue.
AUD-002,Audio,Road Accident,Main Street,N/A,High,A car crash happened on Main Street. One person is injured and needs help.
AUD-003,Audio,Theft / Robbery,Oak Road,N/A,Medium,Someone stole a wallet near Oak Road. The suspect ran toward the park.
DOC-001,PDF,Training / Equipment,Unknown,"January 19, 2015",Medium,"To: Whom it may Concern From: Fort Smith Police Department Date: January 19, 2015 Ref: MRAP The following documentation is intended to document the intended use and training of the Mine Resistatant Am"
DOC-002,PDF,Training / Equipment,Unknown,"June 30th, 2014",Medium,COURSE: LESSON TITLE: CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations DURATION: TRAINING LEVEL: PREPARED BY: Cpl Monty McMillen 5.0 Hours Swat Team Operators CLEE
DOC-003,PDF,Training / Equipment,Unknown,Unknown,Medium,Evacuations / Emergency Situations Required Training: Basic MRAP Operations Driver Requirements: Completion of Basic MRAP Operations and / or equivalent training at the discretion of the Chief of Poli
DOC-004,PDF,Training / Equipment,Unknown,Unknown,Medium,Hot Springs Police Department S.W.A.T. Training Cover Sheet Subject: MRAP Operations Duration of Class: 8 hours Level of Instruction: Basic Target Group: Hot Springs Police Department S.W.A.T. Team Co
DOC-005,PDF,Training / Equipment,Rostan,Unknown,Medium,Hot Springs Police Department S.W.A.T. Training Course Summary Sheet Course Title: MRAP Operations Purpose of the Course: To familiarize Hot Springs Police Department SWAT Operators with basic MRAP fu
DOC-006,PDF,Training / Equipment,Unknown,Unknown,Medium,"Hot Springs Police Department S.W.A.T. Training Course Outline I. Introduction A. General vehicle familiarization and identification 1. Power Plant 2. Transmission 3. Control Panel 4. Lights, switches"
DOC-007,PDF,Training / Equipment,Unknown,Unknown,Medium,References None Training Aids MRAP Coordination Personnel Ofc. Zac Rostan (See “Certification” for Qualifications) 4
DOC-008,PDF,Training / Equipment,"the United States
Government","January 14, 2015",Medium,"To: Whom it may Concern From: Lt. Brett Hibbs Date: January 14, 2015 Ref: MRAP The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protectio"
DOC-009,PDF,Training / Equipment,Unknown,Unknown,Medium,COURSE: LESSON TITLE: MRAP Driver Training Mine Resistant Ambush Protection Vehicle Operations DURATION: TRAINING LEVEL: PREPARED BY: Brett Hibbs 8.0 Hours Special Response Team Officers CLEET Instruc
DOC-010,PDF,Training / Equipment,Unknown,"January 13, 2015",Medium,"Mine Resistant Ambush Protected (MRAP) Vehicle Standard Operating Procedure (SOP) Effective Date: January 13, 2015 Revisions: None PURPOSE: The Jefferson County Sheriff’s Office obtained a Mine Resist"
DOC-011,PDF,Training / Equipment,• Mount,Unknown,Medium,"2. The training may be completed by in-service staff instructors, who have completed a train-the-trainer course, or by a contracted company or trained military member who has extensive experience or q"
DOC-012,PDF,Training / Equipment,Lonoke County Sheriff’s Office,December 2015,Medium,"Lonoke County Sheriff’s Office John Staley - Sheriff To: From: County Sheriff’s Office DateW: hom it may Concern Ref: Lonoke 1 December 2015 MRAP CountyT hSeh eforilflfo’sw oinffgic deo, bcuym theen U"
DOC-013,PDF,Training / Equipment,Lonoke County Sheriff’s Office,3001,Medium,Lonoke County Sheriff’s Office John Staley - Sheriff COURSE: LESSON TITLE: CLEST Continuing Education Course Mine Resistant Ambush DURATION: TRAINING LEVEL: Protection Vehicle Operations PREPARED BY:
